"","MMA","AIC","BIC","SAIC","SBIC","FULL","LASSO","unadj"
"0.1",0.9935,0.985,0.994,0.993,0.9975,0.984,0.99,0.9845
"0.15",0.993,0.9895,0.993,0.9925,0.994,0.988,0.9915,0.975
"0.2",0.9945,0.9895,0.9955,0.996,0.995,0.9845,0.9945,0.968
"0.25",0.9935,0.99,0.99,0.994,0.9955,0.989,0.99,0.9665
"0.3",0.991,0.987,0.9905,0.9925,0.9925,0.983,0.9855,0.956
"0.35",0.9925,0.9855,0.992,0.9915,0.9945,0.9845,0.988,0.9545
"0.4",0.9935,0.99,0.9915,0.9935,0.9955,0.987,0.9925,0.958
"0.45",0.9955,0.992,0.9965,0.995,0.9985,0.988,0.994,0.963
"0.5",0.9905,0.9875,0.991,0.9915,0.9935,0.9865,0.9895,0.9495
"0.55",0.9915,0.9875,0.9915,0.9925,0.995,0.983,0.9895,0.961
"0.6",0.993,0.986,0.9925,0.994,0.9965,0.9835,0.9895,0.953
"0.65",0.9895,0.983,0.99,0.9895,0.9925,0.982,0.9875,0.9545
"0.7",0.9925,0.989,0.993,0.994,0.9945,0.9875,0.989,0.9505
"0.75",0.9905,0.9885,0.992,0.992,0.994,0.9865,0.9895,0.9535
"0.8",0.989,0.9855,0.987,0.99,0.9915,0.985,0.9885,0.9515
"0.85",0.991,0.987,0.9895,0.9895,0.993,0.9845,0.991,0.951
"0.9",0.9855,0.986,0.987,0.992,0.991,0.986,0.986,0.945
